0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:12:22:16 +0100] "POST /Grasshopper/Login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:13:50:34 +0100] "POST /Grasshopper/Login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:13:50:43 +0100] "POST /Grasshopper/Login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:13:51:52 +0100] "POST /Grasshopper/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:13:51:52 +0100] "GET /Grasshopper/invalidLogin.jsp HTTP/1.1" 200 4487
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:13:51:53 +0100] "GET /Grasshopper/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:13:51:54 +0100] "GET /Grasshopper/js/jquery.easing-sooper.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:13:51:54 +0100] "GET /Grasshopper/js/jquery.sooperfish.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:13:51:54 +0100] "GET /Grasshopper/js/modernizr-1.5.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:13:51:54 +0100] "GET /Grasshopper/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:13:51:55 +0100] "GET /Grasshopper/images/bullet.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:13:51:56 +0100] "GET /Grasshopper/images/back.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:13:51:56 +0100] "GET /Grasshopper/images/transparent.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:13:51:57 +0100] "GET /Grasshopper/fonts/NewsCycle-Regular.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:13:51:57 +0100] "GET /Grasshopper/fonts/YanoneKaffeesatz-Regular.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:13:51:57 +0100] "GET /Grasshopper/images/arrows-white.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:13:53:55 +0100] "POST /Grasshopper/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:13:53:55 +0100] "GET /Grasshopper/userLogged.jsp HTTP/1.1" 200 4220
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:13:53:56 +0100] "GET /Grasshopper/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:13:53:56 +0100] "GET /Grasshopper/js/modernizr-1.5.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:13:53:56 +0100] "GET /Grasshopper/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:13:53:56 +0100] "GET /Grasshopper/js/jquery.sooperfish.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:13:53:56 +0100] "GET /Grasshopper/js/jquery.easing-sooper.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:13:53:56 +0100] "GET /Grasshopper/images/back.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:13:53:56 +0100] "GET /Grasshopper/images/bullet.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:13:53:56 +0100] "GET /Grasshopper/images/transparent.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:13:53:56 +0100] "GET /Grasshopper/images/arrows-white.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:13:53:56 +0100] "GET /Grasshopper/fonts/YanoneKaffeesatz-Regular.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:13:53:56 +0100] "GET /Grasshopper/fonts/NewsCycle-Regular.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:13:54:17 +0100] "GET /Grasshopper/TVBAnsicht HTTP/1.1" 200 4640
127.0.0.1 - - [17/Dec/2013:14:09:20 +0100] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:14:09:22 +0100] "GET /Grasshopper/index.jsp HTTP/1.1" 200 4728
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:14:09:50 +0100] "GET /Grasshopper/TVBAnsicht HTTP/1.1" 200 4640
127.0.0.1 - - [17/Dec/2013:14:13:04 +0100] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:14:13:06 +0100] "GET /Grasshopper/index.jsp HTTP/1.1" 200 4728
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:14:13:50 +0100] "GET /Grasshopper/TVBAnsicht HTTP/1.1" 200 4640
127.0.0.1 - - [17/Dec/2013:14:17:20 +0100] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:14:17:21 +0100] "GET /Grasshopper/index.jsp HTTP/1.1" 200 4728
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:14:17:44 +0100] "GET /Grasshopper/TVBAnsicht HTTP/1.1" 200 4640
